Primary_Genre,Rating_Mean,Count,Gross_Mean,Total_Gross,Runtime_Mean,MetaScore_Mean
Action,7.95,172,141963092.28,20016796011.0,129.05,73.42
Adventure,7.94,72,86454989.9,5273754384.0,134.11,78.44
Animation,7.93,82,127967528.46,8573824407.0,99.59,81.09
Biography,7.94,88,60128731.51,4750169789.0,136.02,76.24
Comedy,7.9,155,32537590.2,4164811546.0,112.13,78.72
Crime,8.02,107,34191231.45,3179784525.0,126.39,77.08
Drama,7.95,288,38721640.55,9022142248.0,124.68,79.7
Family,7.8,2,219555277.0,439110554.0,107.5,79.0
Fantasy,8.0,2,,0.0,85.0,
Film-Noir,7.97,3,1278625.5,2557251.0,104.0,95.67
Horror,7.91,11,73585773.3,735857733.0,102.09,80.0
Mystery,7.98,12,30439534.44,273955810.0,119.08,79.12
Thriller,7.8,1,17550741.0,17550741.0,108.0,81.0
Western,8.35,4,14555377.0,58221508.0,148.25,78.25
