Series_Title,Gross_numeric,IMDB_Rating,Genre,Released_Year
Star Wars: Episode VII - The Force Awakens,936662225.0,7.9,"Action, Adventure, Sci-Fi",2015
Avengers: Endgame,858373000.0,8.4,"Action, Adventure, Drama",2019
Avatar,760507625.0,7.8,"Action, Adventure, Fantasy",2009
Avengers: Infinity War,678815482.0,8.4,"Action, Adventure, Sci-Fi",2018
Titanic,659325379.0,7.8,"Drama, Romance",1997
The Avengers,623279547.0,8.0,"Action, Adventure, Sci-Fi",2012
Incredibles 2,608581744.0,7.6,"Animation, Action, Adventure",2018
The Dark Knight,534858444.0,9.0,"Action, Crime, Drama",2008
Rogue One,532177324.0,7.8,"Action, Adventure, Sci-Fi",2016
The Dark Knight Rises,448139099.0,8.4,"Action, Adventure",2012
E.T. the Extra-Terrestrial,435110554.0,7.8,"Family, Sci-Fi",1982
Toy Story 4,434038008.0,7.8,"Animation, Adventure, Comedy",2019
The Lion King,422783777.0,8.5,"Animation, Adventure, Drama",1994
Toy Story 3,415004880.0,8.2,"Animation, Adventure, Comedy",2010
Captain America: Civil War,408084349.0,7.8,"Action, Adventure, Sci-Fi",2016
Jurassic Park,402453882.0,8.1,"Action, Adventure, Sci-Fi",1993
Guardians of the Galaxy Vol. 2,389813101.0,7.6,"Action, Adventure, Comedy",2017
Harry Potter and the Deathly Hallows: Part 2,381011219.0,8.1,"Adventure, Drama, Fantasy",2011
Finding Nemo,380843261.0,8.1,"Animation, Adventure, Comedy",2003
The Lord of the Rings: The Return of the King,377845905.0,8.9,"Action, Adventure, Drama",2003
